Date;COD_3 ;SS_3;NO2_3
02.06.2023;10,08264463;5,785123967;
03.06.2023;14,46280992;4,132231405;
04.06.2023;19,75206612;9,504132231;
06.06.2023;15,70247934;3,305785124;0,032231405
09.06.2023;25,2892562;1,652892562;
11.06.2023;31,40495868;3,305785124;
13.06.2023;28,92561983;2,066115702;
13.06.2023;27,27272727;2,066115702;0,011157025
16.06.2023;29,75206612;2,066115702;
18.06.2023;19,66942149;1,652892562;
20.06.2023;28,92561983;6,198347107;
23.06.2023;18,51239669;2,479338843;
27.06.2023;25,61983471;2,479338843;
30.06.2023;30,5785124;2,892561983;
02.07.2023;32,23140496;0,826446281;
03.07.2023;24,79338843;;
04.07.2023;15,33057851;4,380165289;0,011983471
07.07.2023;29,75206612;2,479338843;
09.07.2023;19,83471074;0,826446281;
11.07.2023;23,80165289;0,826446281;
14.07.2023;47,76859504;2,892561983;
15.07.2023;15,20661157;;
16.07.2023;28,09917355;0,826446281;
17.07.2023;;;
18.07.2023;40,49586777;0,826446281;
21.07.2023;20,66115702;3,305785124;
23.07.2023;16,52892562;4,958677686;
25.07.2023;25,61983471;2,066115702;
26.07.2023;19,4214876;;
30.07.2023;20,66115702;2,892561983;
01.08.2023;29,17355372;1,652892562;
04.08.2023;16,03305785;8,26446281;
08.08.2023;27,43801653;7,438016529;0,016528926
11.08.2023;23,38842975;4,958677686;
13.08.2023;20,66115702;6,611570248;
15.08.2023;28,92561983;3,719008264;
20.08.2023;23,14049587;7,024793388;
26.08.2023;26,44628099;3,305785124;
27.08.2023;30,5785124;5,785123967;
02.09.2023;19,00826446;9,917355372;
07.09.2023;35,53719008;7,438016529;
11.09.2023;17,3553719;4,132231405;
13.09.2023;8,26446281;6,198347107;
15.09.2023;57,02479339;9,917355372;
19.09.2023;16,52892562;2,066115702;0,013223141
24.09.2023;19,83471074;3,305785124;
26.09.2023;45,45454545;1,652892562;
29.09.2023;30,5785124;1,652892562;
01.10.2023;24,79338843;1,652892562;
02.10.2023;23,14049587;13,2231405;0,016528926
06.10.2023;32,23140496;3,305785124;
